,genre_list
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Tactical', 'Adventure']",5
"['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",5
"['Real Time Strategy (RTS)', 'Simulator']",5
"['Shooter', 'Role-playing (RPG)', 'Strategy', 'Adventure']",5
"['Shooter', 'Platform', 'Role-playing (RPG)']",5
"['Simulator', 'Strategy', 'Tactical', 'Indie']",5
"['Real Time Strategy (RTS)', 'Role-playing (RPG)']",5
"['Racing', 'Simulator', 'Sport', 'Adventure']",5
"['Fighting', 'Puzzle', 'Adventure']",5
"['Strategy', 'Adventure', 'Arcade']",5
"['Tactical', 'Adventure']",5
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Tactical']",5
"['Shooter', 'Sport', 'Adventure']",5
"['Real Time Strategy (RTS)', 'Strategy', 'Adventure', 'Indie']",5
"['Platform', 'Strategy', 'Adventure', 'Indie']",5
"['Fighting', 'Adventure', 'Indie', 'Arcade']",5
"['Racing', 'Simulator', 'Adventure']",5
"['Platform', ""Hack and slash/Beat 'em up"", 'Arcade']",5
"['Platform', 'Racing', 'Sport']",5
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Indie']",5
"['Fighting', 'Adventure', 'Indie']",5
"['Shooter', 'Platform', ""Hack and slash/Beat 'em up""]",5
"['Shooter', 'Simulator', 'Adventure', 'Indie', 'Arcade']",5
"['Role-playing (RPG)', 'Strategy', 'Card & Board Game']",5
"['Shooter', 'Sport', 'Indie']",5
"['Sport', ""Hack and slash/Beat 'em up""]",5
"['Strategy', 'Tactical', 'Indie']",5
"['Fighting', 'Sport', 'Indie', 'Arcade']",5
"['Fighting', 'Turn-based strategy (TBS)']",5
"['Puzzle', 'Sport', 'Strategy']",5
"['Shooter', 'Racing', 'Sport']",5
"['Simulator', 'Sport', 'Adventure']",5
"['Platform', 'Racing', 'Sport', 'Indie']",5
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Indie', 'Card & Board Game']",5
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure']",5
"['Platform', 'Puzzle', 'Racing', 'Indie']",5
"['Fighting', 'Shooter', ""Hack and slash/Beat 'em up""]",5
"['Platform', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",5
"['Shooter', 'Platform', 'Racing']",5
"['Puzzle', 'Racing', 'Adventure']",4
"['Platform', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",4
